setid,"Temperature, K",Mole fraction of ammonium isothiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bwOJZ,303.15,0.1002,101,1101.4,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,303.15,0.1998,101,1103.9,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,303.15,0.2514,101,1103.8,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,303.15,0.3001,101,1104.2,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,303.15,0.3199,101,1104.3,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,303.15,0.3413,101,1104.8,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,308.15,0,101,1094.8,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,308.15,0.02,101,1095.4,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,308.15,0.1002,101,1098.3,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,308.15,0.1998,101,1100.8,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,308.15,0.2514,101,1100.6,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,308.15,0.3001,101,1101,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,308.15,0.3199,101,1101.1,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,308.15,0.3413,101,1101.7,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,313.15,0,101,1091.7,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,313.15,0.02,101,1092.3,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,313.15,0.1002,101,1095.2,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,313.15,0.1998,101,1097.7,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,313.15,0.2514,101,1097.4,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,313.15,0.3001,101,1097.9,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,313.15,0.3199,101,1098,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,313.15,0.3413,101,1098.5,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,318.15,0,101,1088.7,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,318.15,0.02,101,1089.3,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,318.15,0.1002,101,1092.1,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
