setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium octyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Eicje,298.15,0.0053,101,1005.3,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,298.15,0.1002,101,1060.6,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,298.15,0.3923,101,1086.3,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,298.15,0.5963,101,1090.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,298.15,0.7373,101,1092.1,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,298.15,0.7747,101,1092.4,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,298.15,0.8545,101,1093,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,298.15,0.9371,101,1093.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,298.15,1,101,1093.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,308.15,0.0053,101,1001.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,308.15,0.1002,101,1054,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,308.15,0.3923,101,1079.6,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,308.15,0.5963,101,1083.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,308.15,0.7373,101,1085.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,308.15,0.7747,101,1085.7,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,308.15,0.8545,101,1086.4,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,308.15,0.9371,101,1086.9,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,308.15,1,101,1087,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,318.15,0.0053,101,997.3,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,318.15,0.1002,101,1047.4,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,318.15,0.3923,101,1072.9,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,318.15,0.5963,101,1077.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,318.15,0.7373,101,1079.1,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,318.15,0.7747,101,1079.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,318.15,0.8545,101,1079.9,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,318.15,0.9371,101,1080.4,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
Eicje,318.15,1,101,1080.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
