setid,"Temperature, K","Pressure, kPa",Mole fraction of 1-ethyl-3-methylimidazolium methanesulfonate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xsrhv,283.15,101,0.3333,1163.5,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,288.15,101,0.3333,1159.1,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,293.15,101,0.3333,1154.7,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,298.15,101,0.3333,1150.4,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,303.15,101,0.3333,1146,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,308.15,101,0.3333,1141.6,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,313.15,101,0.3333,1137.3,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,318.15,101,0.3333,1132.9,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,323.15,101,0.3333,1128.5,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,328.15,101,0.3333,1124.2,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,333.15,101,0.3333,1119.8,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,338.15,101,0.3333,1115.4,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,343.15,101,0.3333,1111.1,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,348.15,101,0.3333,1106.7,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
xsrhv,353.15,101,0.3333,1102.3,Mohan et al. (2022),Density,Liquid,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
