setid,"Temperature, K","MolaLity of 1,3-diethyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UtgdR,293.15,0,100,998.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,293.15,0.0148,100,998.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,293.15,0.0185,100,999.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,293.15,0.0217,100,999.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,293.15,0.0271,100,999.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,293.15,0.0315,100,999.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,293.15,0.035,100,1000,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,293.15,0.0437,100,1000.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,293.15,0.0451,100,1000.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,293.15,0.0502,100,1000.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
