setid,"Solvent: MolaLity of sodium bromide, mol/kg","MolaLity of ethylhexadecyldimethylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
crjqF,0.001,0.0002,298.15,101,996.51,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0002,303.15,101,994.6,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0002,308.15,101,992.66,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0002,313.15,101,990.71,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0002,318.15,101,988.77,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0002,323.15,101,986.8,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0005,298.15,101,996.58,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0005,303.15,101,994.63,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0005,308.15,101,992.68,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0005,313.15,101,990.72,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0005,318.15,101,988.78,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0005,323.15,101,986.81,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0008,298.15,101,996.62,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0008,303.15,101,994.66,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0008,308.15,101,992.7,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0008,313.15,101,990.74,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0008,318.15,101,988.79,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
