setid,"Temperature, K","MolaLity of disodium ceftriaxone, mol/kg",Solvent: Weight fraction of 1-octyl-4-methylpyridinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jiaTr,288.15,0,0,100,999.094,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0,0.01,100,1000.54,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0,0.015,100,1001.29,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0,0.02,100,1002.09,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.0184,0.015,100,1006.52,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.0188,0.02,100,1007.45,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.0193,0.01,100,1005.99,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.0194,0,100,1004.57,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.0469,0.01,100,1013.64,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.0471,0.02,100,1015.28,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.0485,0,100,1012.63,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.0485,0.015,100,1014.86,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.0767,0.015,100,1022.47,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.0768,0.01,100,1021.75,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.0769,0.02,100,1023.36,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.0773,0,100,1020.43,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.1069,0.01,100,1029.68,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.1075,0.02,100,1031.43,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.1077,0.015,100,1030.65,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.1382,0.01,100,1037.71,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.1392,0,100,1036.63,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.1392,0.02,100,1039.55,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.1393,0.015,100,1038.77,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
jiaTr,288.15,0.1713,0.015,100,1046.79,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water
