setid,"MolaLity of 1-(2-carboxyethyl)-3-methylimidazolium chloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oyAka,0,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
oyAka,0.0355,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
oyAka,0.05,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
oyAka,0.05,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
oyAka,0.0536,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
oyAka,0.07,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
oyAka,0.0827,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
oyAka,0.09,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
oyAka,0.0957,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
oyAka,0.1105,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
oyAka,0.1278,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
oyAka,0.1422,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
oyAka,0.1588,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
