setid,"Temperature, K",Mole fraction of water,"Pressure, kPa",Solvent: Mole fraction of tetrabutylphosphonium bromide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xrhCT,293.15,0,101.3,0.333,1072.3,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,293.15,0.083,101.3,0.333,1072.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,293.15,0.209,101.3,0.333,1071.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,293.15,0.289,101.3,0.333,1071.4,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,293.15,0.409,101.3,0.333,1070.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,293.15,0.497,101.3,0.333,1069.9,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,293.15,0.609,101.3,0.333,1068.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,293.15,0.713,101.3,0.333,1064.9,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,293.15,0.793,101.3,0.333,1059.8,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,293.15,0.885,101.3,0.333,1047.3,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
