setid,Mole fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DEImZ,0,101,298.15,1050.8,Caeiro et al. (2022),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
DEImZ,0.1109,101,298.15,1051.7,Caeiro et al. (2022),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
DEImZ,0.2026,101,298.15,1052.9,Caeiro et al. (2022),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
DEImZ,0.2683,101,298.15,1054.3,Caeiro et al. (2022),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
DEImZ,0.415,101,298.15,1057.6,Caeiro et al. (2022),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
DEImZ,0.5113,101,298.15,1060.1,Caeiro et al. (2022),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
DEImZ,0.6166,101,298.15,1062.1,Caeiro et al. (2022),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
DEImZ,0.6604,101,298.15,1063.5,Caeiro et al. (2022),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
DEImZ,0.6842,101,298.15,1064,Caeiro et al. (2022),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
DEImZ,0.7104,101,298.15,1064.2,Caeiro et al. (2022),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
DEImZ,0.7985,101,298.15,1063.2,Caeiro et al. (2022),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
DEImZ,0.8964,101,298.15,1053,Caeiro et al. (2022),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
DEImZ,1,101,298.15,997,Caeiro et al. (2022),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
