setid,"Temperature, K","MolaRity of silver trifluoromethanesulfonate, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JJrhQ,293,1.2,100,1551,Sanchez (2008),Density,Liquid,AAxVwI,O=S(=O)([O-])C(F)(F)F.[Ag+],silver trifluoromethanesulfonate,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
JJrhQ,303,1.2,100,1541.8,Sanchez (2008),Density,Liquid,AAxVwI,O=S(=O)([O-])C(F)(F)F.[Ag+],silver trifluoromethanesulfonate,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
JJrhQ,313,1.2,100,1532.6,Sanchez (2008),Density,Liquid,AAxVwI,O=S(=O)([O-])C(F)(F)F.[Ag+],silver trifluoromethanesulfonate,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
JJrhQ,323,1.2,100,1523.4,Sanchez (2008),Density,Liquid,AAxVwI,O=S(=O)([O-])C(F)(F)F.[Ag+],silver trifluoromethanesulfonate,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
JJrhQ,333,1.2,100,1514.2,Sanchez (2008),Density,Liquid,AAxVwI,O=S(=O)([O-])C(F)(F)F.[Ag+],silver trifluoromethanesulfonate,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
JJrhQ,343,1.2,100,1505,Sanchez (2008),Density,Liquid,AAxVwI,O=S(=O)([O-])C(F)(F)F.[Ag+],silver trifluoromethanesulfonate,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
JJrhQ,353,1.2,100,1495.8,Sanchez (2008),Density,Liquid,AAxVwI,O=S(=O)([O-])C(F)(F)F.[Ag+],silver trifluoromethanesulfonate,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
