setid,"Temperature, K",Mole fraction of 1-butylpyridinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cyKIY,288.15,0,100,793.9,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,288.15,0.0999,100,877.3,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,288.15,0.201,100,930.7,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,288.15,0.2996,100,967,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,288.15,0.3993,100,994.2,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,288.15,0.4897,100,1013.4,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,288.15,0.6017,100,1032.4,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,288.15,0.693,100,1044.8,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,288.15,0.7974,100,1056.6,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,288.15,0.905,100,1066.7,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,288.15,1,100,1075,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,293.15,0,100,789.7,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,293.15,0.0999,100,873.4,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,293.15,0.201,100,927.1,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
cyKIY,293.15,0.2996,100,963.6,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
