setid,"Solvent: MolaLity of 1-octylpyridinium bromide, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Zamko,0.03,0,278.15,100,1001.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0,283.15,100,1001.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0,288.15,100,1000.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0,293.15,100,999.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0,298.15,100,998.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0,303.15,100,996.9,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0206,278.15,100,1002.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0206,283.15,100,1001.9,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0206,288.15,100,1001.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0206,293.15,100,1000.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0206,298.15,100,999,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0206,303.15,100,997.6,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0408,278.15,100,1002.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0408,283.15,100,1002.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0408,288.15,100,1001.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0408,293.15,100,1000.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0408,298.15,100,999.6,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0408,303.15,100,998.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0604,278.15,100,1003.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0604,283.15,100,1003.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0604,288.15,100,1002.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0604,293.15,100,1001.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0604,298.15,100,1000.3,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
