setid,"Temperature, K","Pressure, kPa",Mole fraction of benzyltributylammonium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iKBeb,283.15,100,0.25,1112,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
iKBeb,288.15,100,0.25,1109,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
iKBeb,293.15,100,0.25,1106,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
iKBeb,298.15,100,0.25,1103,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
iKBeb,303.15,100,0.25,1100,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
iKBeb,308.15,100,0.25,1096,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
iKBeb,313.15,100,0.25,1093,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
iKBeb,318.15,100,0.25,1090,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
iKBeb,323.15,100,0.25,1087,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
iKBeb,328.15,100,0.25,1084,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
iKBeb,333.15,100,0.25,1081,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
iKBeb,338.15,100,0.25,1078,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
iKBeb,343.15,100,0.25,1074,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
