setid,Mole fraction of N-ethyl-N-isopropylpropan-2-aminium octanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kaonR,0,298.15,101.3,768.6,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
kaonR,0.0948,298.15,101.3,815.2,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
kaonR,0.193,298.15,101.3,834.3,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
kaonR,0.2908,298.15,101.3,842.2,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
kaonR,0.3981,298.15,101.3,847.3,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
kaonR,0.505,298.15,101.3,850,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
kaonR,0.5846,298.15,101.3,852,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
kaonR,0.6749,298.15,101.3,853.3,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
kaonR,0.7994,298.15,101.3,855.8,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
kaonR,0.86,298.15,101.3,856.5,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
kaonR,1,298.15,101.3,858.5,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,ABAego,CCCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium octanoate,,,
