setid,Mole fraction of 1-ethyl-3-methylimidazolium diethyl phosphate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PVkYo,0.2,303.15,100,1134,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.2,313.15,100,1126,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.2,333.15,100,1112,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.2,353.15,100,1099,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.4,303.15,100,1137,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.4,313.15,100,1131,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.4,333.15,100,1118,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.4,353.15,100,1106,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.6,303.15,100,1139,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.6,313.15,100,1133,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.6,333.15,100,1121,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.6,353.15,100,1109,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.8,303.15,100,1143,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.8,313.15,100,1137,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.8,333.15,100,1124,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,0.8,353.15,100,1118,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,1,303.15,100,1145,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,1,313.15,100,1139,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,1,333.15,100,1127,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
PVkYo,1,353.15,100,1115,Li et al. (2018c),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
