setid,Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JKpgB,0,298.15,101.3,810.86,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,0.052,298.15,101.3,870.89,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,0.0981,298.15,101.3,917.86,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,0.1993,298.15,101.3,1006.35,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,0.3017,298.15,101.3,1080.2,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,0.348,298.15,101.3,1109.3,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,0.399,298.15,101.3,1138.7,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,0.4497,298.15,101.3,1165.7,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,0.4991,298.15,101.3,1190.8,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,0.5509,298.15,101.3,1214.9,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,0.6014,298.15,101.3,1236.6,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,0.6986,298.15,101.3,1273.6,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,0.8073,298.15,101.3,1311.4,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,0.8912,298.15,101.3,1336.5,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKpgB,1,298.15,101.3,1367.9,Wang et al. (2005),Density,Liquid,AAQdvx,CCC(=O)CC,pentan-3-one,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
