setid,Mole fraction of trimethylammonium acetate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pvqoF,0,101,298.15,997,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.0451,101,298.15,1011.9,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.0651,101,298.15,1017,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.0978,101,298.15,1023.7,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.1283,101,298.15,1028.3,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.1524,101,298.15,1031.5,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.2133,101,298.15,1037.4,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.3002,101,298.15,1043,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.328,101,298.15,1044.2,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.3943,101,298.15,1046.7,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.4341,101,298.15,1047.8,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.4797,101,298.15,1048.9,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.5325,101,298.15,1049.8,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.5942,101,298.15,1050.7,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.6292,101,298.15,1051.2,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.7094,101,298.15,1051.9,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.7556,101,298.15,1052.3,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.8068,101,298.15,1052.7,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.8639,101,298.15,1053,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,0.9278,101,298.15,1053.4,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
pvqoF,1,101,298.15,1053.8,Umapathi et al. (2014),Density,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,
