setid,"MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fwnnv,0,101,298.15,786.7,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
fwnnv,0.01606,101,298.15,788.16,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
fwnnv,0.03002,101,298.15,789.29,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
fwnnv,0.0486,101,298.15,790.77,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
fwnnv,0.1009,101,298.15,794.86,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
fwnnv,0.1414,101,298.15,797.95,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
fwnnv,0.1581,101,298.15,799.19,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
fwnnv,0.201,101,298.15,802.37,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
fwnnv,0.2384,101,298.15,805.11,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
fwnnv,0.3248,101,298.15,811.26,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
fwnnv,0.3969,101,298.15,816.25,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
fwnnv,0.5069,101,298.15,823.63,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
fwnnv,0.5838,101,298.15,828.67,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
