setid,"Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EHbQw,263.92,1781.31,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
EHbQw,268.17,1772.34,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
EHbQw,273.05,1767.12,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
EHbQw,277.88,1760.75,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
EHbQw,282.74,1756.46,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
EHbQw,287.61,1748.75,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
EHbQw,293.21,1743.02,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
EHbQw,298.32,1737.21,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
EHbQw,303.17,1731.76,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
EHbQw,308.28,1724.68,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
EHbQw,313.12,1719.1,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
EHbQw,318.44,1712.72,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
EHbQw,323.27,1707.81,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
EHbQw,327.58,1702.97,Souckova et al. (2012b),Density,Liquid,Gas,,21,ACIIQg,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate(V),,,
