setid,"Solvent: MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Temperature, K","MolaLity of disodium hydrogen phosphate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
olyvW,0,288.15,0,101,999,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,288.15,0.02076,101,1002,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,288.15,0.04991,101,1005,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,288.15,0.07047,101,1008,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,288.15,0.10138,101,1012,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,288.15,0.19825,101,1024,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,288.15,0.29919,101,1037,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,288.15,0.39401,101,1048,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,288.15,0.49571,101,1061,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,288.15,0.59714,101,1074,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,288.15,0.69469,101,1086,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,288.15,0.79422,101,1098,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,288.15,0.87604,101,1109,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,288.15,0.97599,101,1121,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,293.15,0,101,998,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,293.15,0.02076,101,1001,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,293.15,0.04991,101,1004,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,293.15,0.07047,101,1007,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,293.15,0.10138,101,1011,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,293.15,0.19825,101,1023,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,293.15,0.29919,101,1035,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,293.15,0.39401,101,1047,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,293.15,0.49571,101,1060,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
olyvW,0,293.15,0.59714,101,1072,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,O=P([O-])([O-])O.[Na+].[Na+],disodium hydrogen phosphate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
