setid,Mole fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
seqlc,0,100,298.15,1081.38,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
seqlc,0.10843,100,298.15,1079.85,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
seqlc,0.20586,100,298.15,1078.28,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
seqlc,0.30583,100,298.15,1076.34,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
seqlc,0.41447,100,298.15,1073.8,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
seqlc,0.51277,100,298.15,1070.97,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
seqlc,0.60952,100,298.15,1067.4,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
seqlc,0.70645,100,298.15,1062.54,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
seqlc,0.78902,100,298.15,1056.44,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
seqlc,0.90153,100,298.15,1040.72,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
seqlc,0.9513,100,298.15,1026.4,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
seqlc,0.98687,100,298.15,1008.32,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
seqlc,1,100,298.15,997.05,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
