setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium chloride,Weight fraction of cesium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
anaTj,288.15,0,0.6481,101,1894.01,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
anaTj,288.15,0.039,0.5887,101,1806.8,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
anaTj,288.15,0.0993,0.5078,101,1690.9,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
anaTj,288.15,0.1711,0.4201,101,1562.3,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
anaTj,288.15,0.2791,0.3132,101,1429.5,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
anaTj,288.15,0.4123,0.2023,101,1300.7,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
anaTj,288.15,0.5662,0.0914,101,1199.7,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
anaTj,288.15,0.6831,0.0213,101,1144.45,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
anaTj,288.15,0.8003,0.0041,101,1137.4,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
anaTj,298.15,0,0.6551,101,1920.79,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
anaTj,298.15,0.012,0,101,998.4,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
anaTj,298.15,0.012,0.03,101,1021.8,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
anaTj,298.15,0.012,0.06,101,1046.2,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
anaTj,298.15,0.024,0,101,999.7,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
