setid,Mole fraction of methanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nDStk,0.5104,298.15,101,1494.6,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.5104,303.15,101,1488.9,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.5104,313.15,101,1477.7,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.6083,298.15,101,1455.3,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.6083,303.15,101,1449.6,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.6083,313.15,101,1438.3,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.706,298.15,101,1398.9,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.706,303.15,101,1393.2,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.706,313.15,101,1382,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.8237,298.15,101,1285.9,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.8237,303.15,101,1280.2,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.8237,313.15,101,1269.3,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.9033,298.15,101,1148.2,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.9033,303.15,101,1142.6,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,0.9033,313.15,101,1132,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,1,298.15,101,786.6,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,1,303.15,101,781.9,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
nDStk,1,313.15,101,772.6,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
