setid,"Solvent: MolaLity of 1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate, mol/kg","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AVWDT,0.0974,0,87,298.15,1000.22,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.0974,0.0993,87,298.15,1003.02,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.0974,0.1493,87,298.15,1004.41,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.0974,0.1974,87,298.15,1005.75,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.0974,0.2527,87,298.15,1007.29,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.0974,0.296,87,298.15,1008.48,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.0974,0.3383,87,298.15,1009.63,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.0974,0.3978,87,298.15,1011.25,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.0974,0.4461,87,298.15,1012.57,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.2012,0,87,298.15,1004.25,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.2012,0.0993,87,298.15,1006.98,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.2012,0.1493,87,298.15,1008.35,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.2012,0.1974,87,298.15,1009.66,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.2012,0.2527,87,298.15,1011.15,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.2012,0.296,87,298.15,1012.32,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.2012,0.3383,87,298.15,1013.45,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.2012,0.3978,87,298.15,1015.03,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.2012,0.4461,87,298.15,1016.31,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.298,0,87,298.15,1008.03,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.298,0.0985,87,298.15,1010.73,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.298,0.1512,87,298.15,1012.16,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.298,0.197,87,298.15,1013.39,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.298,0.2537,87,298.15,1014.92,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
AVWDT,0.298,0.2857,87,298.15,1015.77,Shekaari et al. (2019d),Density,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
