setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpiperidinium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RWDQW,318.15,0,101,990.2,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,318.15,0.0649,101,999.24,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,318.15,0.1752,101,1009.24,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,318.15,0.2828,101,1013.91,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,318.15,0.3698,101,1015.93,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,318.15,0.4889,101,1017.57,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,318.15,0.6259,101,1018.59,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,318.15,0.7226,101,1019.03,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,318.15,0.8954,101,1019.46,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,318.15,1,101,1019.53,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
