setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium ibuprofenate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LBFLz,288.15,0.109,86.8,1001.4,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,288.15,0.111,86.8,1001.5,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,288.15,0.18,86.8,1003.3,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,288.15,0.1801,86.8,1003.3,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,288.15,0.2602,86.8,1005.2,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,288.15,0.2642,86.8,1005.3,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,298.15,0.109,86.8,999.1,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,298.15,0.111,86.8,999.1,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,298.15,0.18,86.8,1000.6,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,298.15,0.1801,86.8,1000.6,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,298.15,0.2602,86.8,1002.3,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,298.15,0.2642,86.8,1002.4,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,308.15,0.109,86.8,995.8,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,308.15,0.111,86.8,995.8,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,308.15,0.18,86.8,997.2,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,308.15,0.1801,86.8,997.1,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,308.15,0.2602,86.8,998.7,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,308.15,0.2642,86.8,998.7,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,318.15,0.109,86.8,991.8,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,318.15,0.111,86.8,991.8,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,318.15,0.18,86.8,993,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,318.15,0.1801,86.8,993,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,318.15,0.2602,86.8,994.2,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
LBFLz,318.15,0.2642,86.8,994.3,Shekaari et al. (2016c),Density,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,
