setid,"Temperature, K","MolaLity of 1-heptyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","MolaLity of disodium hydrogen citrate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OiQHZ,288.15,0,101.3,0.1,1014.07,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.0038,101.3,0.1,1014.24,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.0057,101.3,0.1,1014.33,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.0076,101.3,0.1,1014.41,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.0094,101.3,0.1,1014.49,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.0112,101.3,0.1,1014.58,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.0153,101.3,0.1,1014.76,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.0229,101.3,0.1,1015.11,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.0306,101.3,0.1,1015.46,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.0564,101.3,0.1,1016.62,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.0765,101.3,0.1,1017.52,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.0976,101.3,0.1,1018.46,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.117,101.3,0.1,1019.31,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.138,101.3,0.1,1020.23,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.1586,101.3,0.1,1021.12,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,288.15,0.1788,101.3,0.1,1021.99,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,293.15,0,101.3,0.1,1012.98,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,293.15,0.0038,101.3,0.1,1013.15,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,293.15,0.0057,101.3,0.1,1013.24,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,293.15,0.0076,101.3,0.1,1013.32,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,293.15,0.0094,101.3,0.1,1013.4,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,293.15,0.0112,101.3,0.1,1013.48,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
OiQHZ,293.15,0.0153,101.3,0.1,1013.67,Sadeghi et al. (2010a),Density,Liquid,AAtULw,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[Na+].[Na+],disodium hydrogen citrate,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
