setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium L-valinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lvsUv,293.15,0,100,998.206,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAxFMl,CC(C)[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-valinate,,,
lvsUv,293.15,0.03333,100,999.132,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAxFMl,CC(C)[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-valinate,,,
lvsUv,293.15,0.05233,100,999.647,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAxFMl,CC(C)[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-valinate,,,
lvsUv,293.15,0.07111,100,1000.15,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAxFMl,CC(C)[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-valinate,,,
lvsUv,293.15,0.08607,100,1000.55,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAxFMl,CC(C)[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-valinate,,,
lvsUv,293.15,0.10012,100,1000.93,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAxFMl,CC(C)[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-valinate,,,
lvsUv,293.15,0.13801,100,1001.93,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAxFMl,CC(C)[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-valinate,,,
lvsUv,293.15,0.18045,100,1003.02,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAxFMl,CC(C)[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-valinate,,,
lvsUv,293.15,0.21873,100,1004,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAxFMl,CC(C)[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-valinate,,,
lvsUv,293.15,0.26526,100,1005.21,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAxFMl,CC(C)[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-valinate,,,
