setid,"MolaLity of tetraphenylphosphorane bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SIBad,0.008544,298.15,101,1.32,Zana et al. (1979),Density,Liquid,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,AAHueB,CC#N,acetonitrile,,,
SIBad,0.01904,298.15,101,2.942,Zana et al. (1979),Density,Liquid,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,AAHueB,CC#N,acetonitrile,,,
SIBad,0.03166,298.15,101,4.872,Zana et al. (1979),Density,Liquid,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,AAHueB,CC#N,acetonitrile,,,
SIBad,0.04845,298.15,101,7.412,Zana et al. (1979),Density,Liquid,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,AAHueB,CC#N,acetonitrile,,,
SIBad,0.05225,298.15,101,7.962,Zana et al. (1979),Density,Liquid,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,AAHueB,CC#N,acetonitrile,,,
