setid,"Temperature, K",Mole fraction of 1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Cjmnl,303.15,0.199,101,1048.88,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
Cjmnl,303.15,0.398,101,1152,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
Cjmnl,303.15,0.598,101,1209.55,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
Cjmnl,303.15,0.803,101,1248.2,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
Cjmnl,313.15,0.199,101,1040.16,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
Cjmnl,313.15,0.398,101,1142.08,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
Cjmnl,313.15,0.598,101,1200.92,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
Cjmnl,313.15,0.803,101,1239.7,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
Cjmnl,323.15,0.199,101,1031.23,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
Cjmnl,323.15,0.398,101,1131.72,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
Cjmnl,323.15,0.598,101,1192.35,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
