setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QUwJj,0.0517,298.15,101,850,Iglesias-Otero et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
QUwJj,0.0918,298.15,101,892,Iglesias-Otero et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
QUwJj,0.1995,298.15,101,976,Iglesias-Otero et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
QUwJj,0.2495,298.15,101,1007,Iglesias-Otero et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
QUwJj,0.2518,298.15,101,1043,Iglesias-Otero et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
QUwJj,0.3228,298.15,101,1082,Iglesias-Otero et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
QUwJj,0.4219,298.15,101,1117,Iglesias-Otero et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
QUwJj,0.5356,298.15,101,1139,Iglesias-Otero et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
QUwJj,0.6244,298.15,101,1157,Iglesias-Otero et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
QUwJj,0.709,298.15,101,1180,Iglesias-Otero et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
QUwJj,0.8295,298.15,101,1190,Iglesias-Otero et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
