setid,"Temperature, K",Weight fraction of 1-butyl-4-methylpyridinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
owYeg,288.15,0,100,999.094,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,288.15,0.01,100,1001.16,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,288.15,0.015,100,1002.26,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,288.15,0.02,100,1003.42,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,293.15,0,100,998.203,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,293.15,0.01,100,1000.23,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,293.15,0.015,100,1001.31,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,293.15,0.02,100,1002.47,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,298.15,0,100,997.042,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,298.15,0.01,100,999.051,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,298.15,0.015,100,1000.13,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,298.15,0.02,100,1001.26,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,303.15,0,100,995.646,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,303.15,0.01,100,997.647,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,303.15,0.015,100,998.68,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,303.15,0.02,100,999.765,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,308.15,0,100,994.023,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,308.15,0.01,100,996.019,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,308.15,0.015,100,996.958,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
owYeg,308.15,0.02,100,998.102,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water,,,
