setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ynFhJ,303.15,0,96.7,931.9,Yang et al. (2019e),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
ynFhJ,303.15,0.181,96.7,982,Yang et al. (2019e),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
ynFhJ,303.15,0.339,96.7,1014.8,Yang et al. (2019e),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
ynFhJ,303.15,0.434,96.7,1031.3,Yang et al. (2019e),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
ynFhJ,303.15,0.544,96.7,1049.1,Yang et al. (2019e),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
ynFhJ,303.15,0.672,96.7,1064.2,Yang et al. (2019e),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
ynFhJ,303.15,0.82,96.7,1080.2,Yang et al. (2019e),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
ynFhJ,303.15,0.908,96.7,1088.4,Yang et al. (2019e),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
ynFhJ,303.15,1,96.7,1097.2,Yang et al. (2019e),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
ynFhJ,308.15,0,96.7,927.3,Yang et al. (2019e),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
ynFhJ,308.15,0.181,96.7,978,Yang et al. (2019e),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
ynFhJ,308.15,0.339,96.7,1011,Yang et al. (2019e),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
ynFhJ,308.15,0.434,96.7,1027.8,Yang et al. (2019e),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
