setid,"Moles per mass of solution: tetrabutylammonium perchlorate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gGzht,0,100,298.15,1095.33,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGzht,0.0221,100,298.15,1094.87,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGzht,0.02657,100,298.15,1094.79,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGzht,0.03391,100,298.15,1094.66,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGzht,0.04189,100,298.15,1094.51,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGzht,0.05653,100,298.15,1094.25,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGzht,0.06854,100,298.15,1094.03,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGzht,0.0843,100,298.15,1093.75,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGzht,0.10206,100,298.15,1093.43,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGzht,0.11984,100,298.15,1093.12,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGzht,0.13617,100,298.15,1092.82,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGzht,0.15321,100,298.15,1092.51,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGzht,0.17069,100,298.15,1092.19,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
