setid,"Temperature, K",Weight fraction of 1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dcHge,298.1,0,101,1181.1,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAcFkd,FC(F)(F)c1ccccc1,(trifluoromethyl)benzene,,,
dcHge,298.1,0.05,101,1197.3,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAcFkd,FC(F)(F)c1ccccc1,(trifluoromethyl)benzene,,,
dcHge,298.1,0.1,101,1216.6,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAcFkd,FC(F)(F)c1ccccc1,(trifluoromethyl)benzene,,,
dcHge,298.1,0.2,101,1253,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAcFkd,FC(F)(F)c1ccccc1,(trifluoromethyl)benzene,,,
dcHge,298.1,0.3,101,1289.3,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAcFkd,FC(F)(F)c1ccccc1,(trifluoromethyl)benzene,,,
dcHge,298.1,0.4,101,1328.8,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAcFkd,FC(F)(F)c1ccccc1,(trifluoromethyl)benzene,,,
dcHge,298.1,0.5,101,1369.4,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAcFkd,FC(F)(F)c1ccccc1,(trifluoromethyl)benzene,,,
dcHge,298.1,0.6,101,1410.7,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAcFkd,FC(F)(F)c1ccccc1,(trifluoromethyl)benzene,,,
dcHge,298.1,0.7,101,1452.9,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAcFkd,FC(F)(F)c1ccccc1,(trifluoromethyl)benzene,,,
dcHge,298.1,0.8,101,1494.7,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAcFkd,FC(F)(F)c1ccccc1,(trifluoromethyl)benzene,,,
