setid,"Temperature, K","MolaLity of 1-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jvNIs,278.15,0.00504,100,1000.1,Tomas et al. (2018),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water,,,
jvNIs,278.15,0.01009,100,1000.2,Tomas et al. (2018),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water,,,
jvNIs,278.15,0.02015,100,1000.5,Tomas et al. (2018),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water,,,
jvNIs,278.15,0.03038,100,1000.8,Tomas et al. (2018),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water,,,
jvNIs,278.15,0.04022,100,1001,Tomas et al. (2018),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water,,,
jvNIs,278.15,0.04906,100,1001.2,Tomas et al. (2018),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water,,,
jvNIs,278.15,0.06016,100,1001.5,Tomas et al. (2018),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water,,,
jvNIs,278.15,0.07512,100,1001.9,Tomas et al. (2018),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water,,,
jvNIs,278.15,0.09779,100,1002.5,Tomas et al. (2018),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water,,,
jvNIs,283.15,0.00504,100,999.8,Tomas et al. (2018),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water,,,
jvNIs,283.15,0.01009,100,1000,Tomas et al. (2018),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water,,,
