setid,"Temperature, K",Mole fraction of 4-decyl-4-methylmorpholinium tetracyanoborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WrmfF,303.15,0.199,101,890.94,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,303.15,0.398,101,930.49,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,303.15,0.567,101,950.66,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,303.15,0.773,101,967.12,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,313.15,0.199,101,883.6,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,313.15,0.398,101,923.2,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,313.15,0.567,101,943.86,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,313.15,0.773,101,960.56,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,323.15,0.199,101,876.37,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,323.15,0.398,101,916.58,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,323.15,0.567,101,937.36,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,323.15,0.773,101,954.09,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,333.15,0.199,101,868.52,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,333.15,0.398,101,910.54,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,333.15,0.567,101,930.75,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
WrmfF,333.15,0.773,101,947.6,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABQlWu,CCCCCCCCCC[N+]1(C)CCOCC1.N#C[B-](C#N)(C#N)C#N,4-decyl-4-methylmorpholinium tetracyanoborate,,,
