setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Solvent: MolaLity of 2-aminoacetic acid, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mgYCS,288.15,0.0346,84.5,0.7041,1020.2,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
mgYCS,288.15,0.0581,84.5,0.7041,1020.4,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
mgYCS,288.15,0.0748,84.5,0.7041,1020.6,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
mgYCS,288.15,0.1166,84.5,0.7041,1020.9,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
mgYCS,288.15,0.1697,84.5,0.7041,1021.4,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
mgYCS,288.15,0.23,84.5,0.7041,1022,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
mgYCS,288.15,0.414,84.5,0.7041,1023.8,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
mgYCS,288.15,0.7522,84.5,0.7041,1027.2,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
mgYCS,298.15,0.0346,84.5,0.7041,1017.6,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
mgYCS,298.15,0.0581,84.5,0.7041,1017.8,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
