setid,Mole fraction of methylcyclohexane,Mole fraction of toluene,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CVlUv,0,0.328,101,298.15,1151,Dominguez et al. (2011a),Density,Liquid,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
CVlUv,0.006,0.291,101,298.15,1159,Dominguez et al. (2011a),Density,Liquid,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
CVlUv,0.009,0.273,101,298.15,1162.5,Dominguez et al. (2011a),Density,Liquid,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
CVlUv,0.011,0.249,101,298.15,1167.5,Dominguez et al. (2011a),Density,Liquid,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
CVlUv,0.014,0.175,101,298.15,1180.6,Dominguez et al. (2011a),Density,Liquid,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
CVlUv,0.015,0.195,101,298.15,1176.6,Dominguez et al. (2011a),Density,Liquid,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
CVlUv,0.017,0.146,101,298.15,1185,Dominguez et al. (2011a),Density,Liquid,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
CVlUv,0.019,0.096,101,298.15,1193.3,Dominguez et al. (2011a),Density,Liquid,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
CVlUv,0.02,0.05,101,298.15,1200.5,Dominguez et al. (2011a),Density,Liquid,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
CVlUv,0.021,0.079,101,298.15,1196.4,Dominguez et al. (2011a),Density,Liquid,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
CVlUv,0.028,0,101,298.15,1207.3,Dominguez et al. (2011a),Density,Liquid,AAStyH,CC1CCCCC1,methylcyclohexane,AARlpN,Cc1ccccc1,toluene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
