setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fWSGH,293.15,0,101.3,944.04,Fu et al. (2021),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
fWSGH,293.15,0.0201,101.3,947.24,Fu et al. (2021),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
fWSGH,293.15,0.0501,101.3,951.86,Fu et al. (2021),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
fWSGH,293.15,0.0801,101.3,956.47,Fu et al. (2021),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
fWSGH,293.15,0.1197,101.3,962.01,Fu et al. (2021),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
fWSGH,293.15,0.199,101.3,973.67,Fu et al. (2021),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
fWSGH,293.15,0.2495,101.3,980.79,Fu et al. (2021),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
fWSGH,293.15,0.2912,101.3,986.16,Fu et al. (2021),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
fWSGH,293.15,0.3498,101.3,994.33,Fu et al. (2021),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
fWSGH,293.15,0.3909,101.3,999.47,Fu et al. (2021),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
