setid,Weight fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,Weight fraction of potassium ethanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KzAkg,0.183,0.132,298.15,101,1205.8,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
KzAkg,0.183,0.132,303.15,101,1202,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
KzAkg,0.183,0.132,308.15,101,1198.2,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
KzAkg,0.183,0.132,313.15,101,1194.3,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
KzAkg,0.183,0.132,318.15,101,1190.3,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
KzAkg,0.183,0.132,323.15,101,1186.2,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
KzAkg,0.183,0.132,328.15,101,1182,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
KzAkg,0.574,0.037,298.15,101,1107.9,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
KzAkg,0.574,0.037,303.15,101,1105.3,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
KzAkg,0.574,0.037,308.15,101,1102.6,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
KzAkg,0.574,0.037,313.15,101,1099.8,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
KzAkg,0.574,0.037,318.15,101,1096.9,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
KzAkg,0.574,0.037,323.15,101,1093.9,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
KzAkg,0.574,0.037,328.15,101,1090.9,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
