setid,"Pressure, kPa","Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium dicyanamide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HixEP,100,288.15,0.000562,999.731,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,288.15,0.001123,1000.36,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,288.15,0.001684,1000.96,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,288.15,0.002244,1001.55,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,288.15,0.002804,1002.13,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,288.15,0.003363,1002.69,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,298.15,0.000562,997.606,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,298.15,0.001123,998.161,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,298.15,0.001684,998.701,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,298.15,0.002244,999.224,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,298.15,0.002804,999.738,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,298.15,0.003363,1000.25,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,308.15,0.000562,994.54,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,308.15,0.001123,995.038,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,308.15,0.001683,995.519,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,308.15,0.002243,995.993,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,308.15,0.002803,996.456,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,308.15,0.003362,996.914,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,318.15,0.000561,990.667,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,318.15,0.001122,991.121,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,318.15,0.001682,991.559,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,318.15,0.002241,991.986,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,318.15,0.0028,992.407,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
HixEP,100,318.15,0.003359,992.819,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
