setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium octyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oPToI,292.15,0.7742,101,1077.2,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
oPToI,292.15,0.792,101,1079.1,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
oPToI,292.65,0.7742,101,1076.9,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
oPToI,292.65,0.792,101,1078.7,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
oPToI,292.95,0.792,101,1078.5,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
oPToI,293.15,0.7742,101,1076.4,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
oPToI,293.15,0.792,101,1078.3,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
oPToI,293.25,0.792,101,1078.2,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
oPToI,293.45,0.792,101,1078,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
oPToI,293.65,0.792,101,1077.8,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
oPToI,293.65,0.8063,101,1080,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
oPToI,293.65,0.832,101,1082.1,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
