setid,"MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eOQNz,0,288.15,101,999.099,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0,293.15,101,998.203,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0,298.15,101,997.043,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0,303.15,101,995.645,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0,308.15,101,994.029,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0.0203,288.15,101,1000.07,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0.0203,293.15,101,999.148,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0.0203,298.15,101,997.971,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0.0203,303.15,101,996.556,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0.0203,308.15,101,994.925,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0.024,288.15,101,1000.25,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0.024,293.15,101,999.325,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0.024,298.15,101,998.142,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0.024,303.15,101,996.726,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
eOQNz,0.024,308.15,101,995.091,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
