setid,"Temperature, K","MolaLity of N-methyl-N-octylmorpholinium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gGmBH,298.15,0,101,776.623,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,298.15,0.011,101,777.584,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,298.15,0.0181,101,778.198,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,298.15,0.0217,101,778.509,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,298.15,0.0274,101,778.999,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,298.15,0.0329,101,779.463,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,298.15,0.0448,101,780.468,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,298.15,0.0662,101,782.259,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,298.15,0.0893,101,784.163,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,298.15,0.1129,101,786.074,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
