setid,Mole fraction of methylcyclohexane,Mole fraction of benzene,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wYwzD,0,0.406,101,298.15,1171.7,Gomez et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate
wYwzD,0.002,0.359,101,298.15,1182.3,Gomez et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate
wYwzD,0.003,0.292,101,298.15,1197.5,Gomez et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate
wYwzD,0.003,0.309,101,298.15,1193.5,Gomez et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate
wYwzD,0.004,0.258,101,298.15,1204.2,Gomez et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate
wYwzD,0.005,0.188,101,298.15,1218.2,Gomez et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate
wYwzD,0.005,0.207,101,298.15,1214.5,Gomez et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate
wYwzD,0.007,0.151,101,298.15,1224.4,Gomez et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate
wYwzD,0.008,0.082,101,298.15,1236.5,Gomez et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate
wYwzD,0.008,0.1,101,298.15,1233.5,Gomez et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate
wYwzD,0.009,0.05,101,298.15,1241.7,Gomez et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate
wYwzD,0.013,0,101,298.15,1248.8,Gomez et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate
