setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium octyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QqweP,278.15,0,101,816,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,278.15,0.196,101,829.4,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,278.15,0.468,101,846.1,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,278.15,0.726,101,859.6,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,278.15,1,101,872.8,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,278.15,1.302,101,885.5,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,288.15,0,101,807.5,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,288.15,0.188,101,820.7,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,288.15,0.447,101,836.7,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,288.15,0.742,101,852.4,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,288.15,0.997,101,864.6,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
