setid,"Temperature, K","MolaLity of tetraphenylphosphonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kCJIT,288.15,0.04819,101.3,1002.31,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,288.15,0.05794,101.3,1002.94,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,288.15,0.07019,101.3,1003.74,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,288.15,0.08823,101.3,1004.9,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,288.15,0.1075,101.3,1006.13,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,288.15,0.13089,101.3,1007.61,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,298.15,0.04819,101.3,1000.11,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,298.15,0.05794,101.3,1000.71,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,298.15,0.07019,101.3,1001.46,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,298.15,0.08823,101.3,1002.58,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,298.15,0.1075,101.3,1003.75,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,298.15,0.13089,101.3,1005.15,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,308.15,0.04819,101.3,996.96,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,308.15,0.05794,101.3,997.54,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,308.15,0.07019,101.3,998.26,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,308.15,0.08823,101.3,999.33,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,308.15,0.1075,101.3,1000.46,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
kCJIT,308.15,0.13089,101.3,1001.82,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
