setid,"MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
drMsH,0.004,298.15,101,997.2,GaiIlon et al. (2004),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
drMsH,0.0086,298.15,101,997.4,GaiIlon et al. (2004),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
drMsH,0.0193,298.15,101,997.8,GaiIlon et al. (2004),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
drMsH,0.0291,298.15,101,998.2,GaiIlon et al. (2004),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
drMsH,0.0539,298.15,101,999,GaiIlon et al. (2004),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
drMsH,0.0671,298.15,101,999.5,GaiIlon et al. (2004),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
drMsH,0.0788,298.15,101,999.8,GaiIlon et al. (2004),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
drMsH,0.0994,298.15,101,1000.5,GaiIlon et al. (2004),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
drMsH,0.2565,298.15,101,1005.1,GaiIlon et al. (2004),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
