setid,"Mole fraction of 1,2-dimethylbenzene","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tIypZ,0,283.15,100,1023,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tIypZ,0.001,283.15,100,1023,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tIypZ,0.102,283.15,100,1018,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tIypZ,0.202,283.15,100,1011,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tIypZ,0.305,283.15,100,1006,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tIypZ,0.385,283.15,100,1000,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tIypZ,0.433,283.15,100,997,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
