setid,Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,Mole fraction of propanoic acid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SFhWd,0.0507,0.5344,293.15,100,1044,Masilo et al. (2024),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
SFhWd,0.0507,0.5344,303.15,100,1035,Masilo et al. (2024),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
SFhWd,0.0507,0.5344,313.15,100,1026,Masilo et al. (2024),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
SFhWd,0.0507,0.5344,323.15,100,1017,Masilo et al. (2024),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
SFhWd,0.0507,0.5344,333.15,100,1008,Masilo et al. (2024),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
SFhWd,0.0554,0.4904,303.15,100,1038,Masilo et al. (2024),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
SFhWd,0.0554,0.4904,313.15,100,1029,Masilo et al. (2024),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
SFhWd,0.0554,0.4904,323.15,100,1020,Masilo et al. (2024),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
SFhWd,0.0554,0.4904,333.15,100,1011,Masilo et al. (2024),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
SFhWd,0.0672,0.381,293.15,100,1054,Masilo et al. (2024),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
