setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium diethyl phosphate,Mole fraction of N-methyldiethanolamine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YngVU,293.15,0.0986,0.1944,101,1091.2,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,293.15,0.2091,0.5412,101,1100.4,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,293.15,0.3666,0.3676,101,1114.5,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,293.15,0.4188,0.2162,101,1123,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,293.15,0.5973,0.2911,101,1129,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,293.15,0.6825,0.2899,101,1135.3,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,293.15,0.8097,0.1903,101,1139.9,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,293.15,0.9134,0.0866,101,1146,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,293.15,1,0,101,1153,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,301.15,0.0986,0.1944,101,1083.7,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,301.15,0.2091,0.5412,101,1093.3,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,301.15,0.3666,0.3676,101,1107.4,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,301.15,0.4188,0.2162,101,1116.3,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,301.15,0.5973,0.2911,101,1122.3,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,301.15,0.6825,0.2899,101,1128.7,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,301.15,0.8097,0.1903,101,1133.1,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,301.15,0.9134,0.0866,101,1138.8,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,301.15,1,0,101,1145.2,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,303.15,0.0986,0.1944,101,1081.5,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,303.15,0.2091,0.5412,101,1091.3,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,303.15,0.3666,0.3676,101,1105.8,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,303.15,0.4188,0.2162,101,1114.2,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,303.15,0.5973,0.2911,101,1120.1,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,303.15,0.6825,0.2899,101,1126.9,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,303.15,0.8097,0.1903,101,1131.4,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,303.15,0.9134,0.0866,101,1136.9,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,303.15,1,0,101,1142.9,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,313.15,0.0986,0.1944,101,1072.3,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,313.15,0.2091,0.5412,101,1081.4,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,313.15,0.3666,0.3676,101,1096.6,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
YngVU,313.15,0.4188,0.2162,101,1105.1,Ghani et al. (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
