setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium hydrogen sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ientr,298.15,0,100,785.3,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,298.15,0.028,100,829.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,298.15,0.088,100,910.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,298.15,0.178,100,1007.5,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,298.15,0.338,100,1130,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,298.15,0.473,100,1203.9,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,298.15,0.577,100,1248.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,298.15,0.669,100,1281.9,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,298.15,0.776,100,1314.4,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,298.15,0.88,100,1340.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,298.15,1,100,1365.8,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,303.15,0,100,781,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,303.15,0.028,100,825.5,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,303.15,0.088,100,906.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,303.15,0.178,100,1003.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,303.15,0.338,100,1126.5,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,303.15,0.473,100,1200.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
