setid,"MolaLity of 1-methyl-3-pentylimidazolium chloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ouLYE,0.01,288.15,101,999.8,Gaba et al. (2017c),Density,Liquid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water,,,
ouLYE,0.01,298.15,101,997.8,Gaba et al. (2017c),Density,Liquid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water,,,
ouLYE,0.01,308.15,101,994.7,Gaba et al. (2017c),Density,Liquid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water,,,
ouLYE,0.03,288.15,101,1000.6,Gaba et al. (2017c),Density,Liquid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water,,,
ouLYE,0.03,298.15,101,998.5,Gaba et al. (2017c),Density,Liquid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water,,,
ouLYE,0.03,308.15,101,995.5,Gaba et al. (2017c),Density,Liquid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water,,,
