setid,"MolaLity of N,N,N-trimethyl-1-dodecanaminium chloride, mol/kg","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zToCA,0,0.001994,298,101,997.011,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.004004,298,101,996.976,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.005994,298,101,996.941,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.007988,298,101,996.907,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.009968,298,101,996.873,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.011976,298,101,996.838,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.013982,298,101,996.805,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.015967,298,101,996.771,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.018032,298,101,996.734,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.019934,298,101,996.702,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.022019,298,101,996.665,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.024006,298,101,996.624,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.026049,298,101,996.576,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.027976,298,101,996.531,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.029925,298,101,996.487,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.03209,298,101,996.434,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.03396,298,101,996.389,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.03592,298,101,996.343,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.038029,298,101,996.294,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.03992,298,101,996.25,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.042377,298,101,996.195,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.045005,298,101,996.134,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
zToCA,0,0.047494,298,101,996.075,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
