setid,"Temperature, K","Mole fraction of 1,1,3,3-tetramethylguanidinium imidazol-1-ide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gBwKt,293.15,0,100,789.51,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,293.15,0.0483,100,821.2,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,293.15,0.0999,100,848.92,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,293.15,0.2003,100,888.15,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,293.15,0.3001,100,916.24,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,293.15,0.3999,100,937.23,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,293.15,0.5,100,953.33,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,293.15,0.643,100,970.7,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,293.15,0.7966,100,984.34,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,293.15,0.8987,100,991.38,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,293.15,1,100,997.25,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,298.15,0,100,785.4,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,298.15,0.0483,100,816.85,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,298.15,0.0999,100,844.52,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,298.15,0.2003,100,883.71,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
gBwKt,298.15,0.3001,100,911.78,Chen et al. (2015c),Density,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
