setid,"Mole fraction of 1-ethyl-2,3-dimethylimidazolium terafluoroborate",Mole fraction of ethanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hOEeP,0.054,0.164,298.15,101,845,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.055,0.132,298.15,101,842,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.055,0.202,298.15,101,846,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.055,0.244,298.15,101,847,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.057,0.056,298.15,101,834,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.057,0.083,298.15,101,843,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.057,0.267,298.15,101,849,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.057,0.3,298.15,101,851,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.058,0,298.15,101,822,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.062,0.329,298.15,101,852,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.066,0.349,298.15,101,855,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.08,0.358,298.15,101,858,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.094,0.37,298.15,101,867,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.104,0.376,298.15,101,872,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.115,0.376,298.15,101,875,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.126,0.376,298.15,101,878,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.137,0.375,298.15,101,881,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.151,0.367,298.15,101,884,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.161,0.363,298.15,101,898,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.178,0.356,298.15,101,915,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.194,0.348,298.15,101,927,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.212,0.336,298.15,101,944,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.226,0.325,298.15,101,951,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.247,0.306,298.15,101,954,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.267,0.292,298.15,101,966,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.291,0.268,298.15,101,985,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.316,0.249,298.15,101,1004,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.36,0.208,298.15,101,1015,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
hOEeP,0.385,0.18,298.15,101,1028,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate"
