setid,Mole fraction of undecane,"Mole fraction of 1,3-dimethylbenzene","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZUOeU,0.0483,0.2064,298.15,1219.6,Maduro and Aznar (2010),Density,Liquid mixture 1,Liquid mixture 2,,9,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAeDlm,CCCCCCCCCCC,undecane
ZUOeU,0.0501,0.2657,298.15,1203.1,Maduro and Aznar (2010),Density,Liquid mixture 1,Liquid mixture 2,,9,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAeDlm,CCCCCCCCCCC,undecane
ZUOeU,0.0667,0.1168,298.15,1256.4,Maduro and Aznar (2010),Density,Liquid mixture 1,Liquid mixture 2,,9,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAeDlm,CCCCCCCCCCC,undecane
ZUOeU,0.2032,0.7932,298.15,821.5,Maduro and Aznar (2010),Density,Liquid mixture 1,Liquid mixture 2,,9,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAeDlm,CCCCCCCCCCC,undecane
ZUOeU,0.2601,0.7338,298.15,813.087,Maduro and Aznar (2010),Density,Liquid mixture 1,Liquid mixture 2,,9,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAeDlm,CCCCCCCCCCC,undecane
ZUOeU,0.2886,0.7037,298.15,810.848,Maduro and Aznar (2010),Density,Liquid mixture 1,Liquid mixture 2,,9,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAeDlm,CCCCCCCCCCC,undecane
ZUOeU,0.3372,0.6567,298.15,801.446,Maduro and Aznar (2010),Density,Liquid mixture 1,Liquid mixture 2,,9,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAeDlm,CCCCCCCCCCC,undecane
ZUOeU,0.4848,0.5056,298.15,780.5,Maduro and Aznar (2010),Density,Liquid mixture 1,Liquid mixture 2,,9,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAeDlm,CCCCCCCCCCC,undecane
ZUOeU,0.588,0.3951,298.15,770.727,Maduro and Aznar (2010),Density,Liquid mixture 1,Liquid mixture 2,,9,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAeDlm,CCCCCCCCCCC,undecane
