setid,"Temperature, K","MolaLity of tetraethylammonium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AcoJc,293.15,0,100,948.7,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,298.15,0,100,943.9,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,298.15,0.0166,100,945.1,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,298.15,0.0201,100,945.4,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,298.15,0.0233,100,945.6,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,298.15,0.0268,100,945.9,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,298.15,0.0537,100,947.8,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,298.15,0.0683,100,948.8,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,298.15,0.1004,100,951,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,298.15,0.3108,100,964.5,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,303.15,0,100,939.1,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,308.15,0,100,934.4,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,308.15,0.0166,100,935.6,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,308.15,0.0201,100,935.8,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,308.15,0.0233,100,936.1,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,308.15,0.0268,100,936.3,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,308.15,0.0537,100,938.2,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,308.15,0.0683,100,939.3,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
AcoJc,308.15,0.1004,100,941.5,Makarov and Safonova (2021),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAOCWD,CN(C)C=O,dimethylformamide,,,
