setid,"MolaLity of 1-butyl-3-methylimidazolium thyminide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ulbmP,0,94.4,298.15,997.05,Gavhane et al. (2022),Density,Liquid,AAyrpY,[N-]1C(=O)NC(=O)C(C)=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
ulbmP,0.0303,94.4,298.15,998.44,Gavhane et al. (2022),Density,Liquid,AAyrpY,[N-]1C(=O)NC(=O)C(C)=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
ulbmP,0.0445,94.4,298.15,999.09,Gavhane et al. (2022),Density,Liquid,AAyrpY,[N-]1C(=O)NC(=O)C(C)=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
ulbmP,0.0604,94.4,298.15,999.82,Gavhane et al. (2022),Density,Liquid,AAyrpY,[N-]1C(=O)NC(=O)C(C)=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
ulbmP,0.0754,94.4,298.15,1000.5,Gavhane et al. (2022),Density,Liquid,AAyrpY,[N-]1C(=O)NC(=O)C(C)=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
ulbmP,0.1443,94.4,298.15,1003.57,Gavhane et al. (2022),Density,Liquid,AAyrpY,[N-]1C(=O)NC(=O)C(C)=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
ulbmP,0.244,94.4,298.15,1007.93,Gavhane et al. (2022),Density,Liquid,AAyrpY,[N-]1C(=O)NC(=O)C(C)=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
ulbmP,0.2798,94.4,298.15,1009.52,Gavhane et al. (2022),Density,Liquid,AAyrpY,[N-]1C(=O)NC(=O)C(C)=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
ulbmP,0.3182,94.4,298.15,1011.14,Gavhane et al. (2022),Density,Liquid,AAyrpY,[N-]1C(=O)NC(=O)C(C)=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
ulbmP,0.3198,94.4,298.15,1011.19,Gavhane et al. (2022),Density,Liquid,AAyrpY,[N-]1C(=O)NC(=O)C(C)=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
ulbmP,0.3795,94.4,298.15,1013.62,Gavhane et al. (2022),Density,Liquid,AAyrpY,[N-]1C(=O)NC(=O)C(C)=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
ulbmP,0.4627,94.4,298.15,1017.04,Gavhane et al. (2022),Density,Liquid,AAyrpY,[N-]1C(=O)NC(=O)C(C)=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
ulbmP,0.5559,94.4,298.15,1020.7,Gavhane et al. (2022),Density,Liquid,AAyrpY,[N-]1C(=O)NC(=O)C(C)=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
