setid,"Temperature, K",Mole fraction of tetrabutylammonium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hAqYJ,293.15,0.5,101,1027,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,293.15,0.667,101,1007,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,293.15,0.75,101,996,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,293.15,0.8,101,990,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,303.15,0.5,101,1021,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,303.15,0.667,101,1001,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,303.15,0.75,101,990,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,303.15,0.8,101,985,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,313.15,0.5,101,1015,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,313.15,0.667,101,995,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,313.15,0.75,101,984,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
