setid,Mole fraction of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ivvhe,0,298.15,100,1151.9,Pinto et al. (2013),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAyrgh,CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-butyl-3-methyl-1H-imidazolium ethyl sulfate,,,
ivvhe,0.1009,298.15,100,1189.5,Pinto et al. (2013),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAyrgh,CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-butyl-3-methyl-1H-imidazolium ethyl sulfate,,,
ivvhe,0.2031,298.15,100,1227.6,Pinto et al. (2013),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAyrgh,CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-butyl-3-methyl-1H-imidazolium ethyl sulfate,,,
ivvhe,0.2951,298.15,100,1261.6,Pinto et al. (2013),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAyrgh,CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-butyl-3-methyl-1H-imidazolium ethyl sulfate,,,
ivvhe,0.4027,298.15,100,1301.5,Pinto et al. (2013),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAyrgh,CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-butyl-3-methyl-1H-imidazolium ethyl sulfate,,,
ivvhe,0.5013,298.15,100,1337.7,Pinto et al. (2013),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAyrgh,CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-butyl-3-methyl-1H-imidazolium ethyl sulfate,,,
ivvhe,0.5989,298.15,100,1373.5,Pinto et al. (2013),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAyrgh,CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-butyl-3-methyl-1H-imidazolium ethyl sulfate,,,
ivvhe,0.7113,298.15,100,1414.5,Pinto et al. (2013),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAyrgh,CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-butyl-3-methyl-1H-imidazolium ethyl sulfate,,,
ivvhe,0.8024,298.15,100,1447.5,Pinto et al. (2013),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAyrgh,CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-butyl-3-methyl-1H-imidazolium ethyl sulfate,,,
ivvhe,0.8996,298.15,100,1482.6,Pinto et al. (2013),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAyrgh,CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-butyl-3-methyl-1H-imidazolium ethyl sulfate,,,
ivvhe,1,298.15,100,1518.9,Pinto et al. (2013),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAyrgh,CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-butyl-3-methyl-1H-imidazolium ethyl sulfate,,,
