setid,"Temperature, K","Pressure, kPa",Mole ratio to solvent: phenol,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zvklh,293.15,101,3,1060.26,Basaiahgari et al. (2017),Density,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
zvklh,298.15,101,3,1056.98,Basaiahgari et al. (2017),Density,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
zvklh,303.15,101,3,1053.73,Basaiahgari et al. (2017),Density,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
zvklh,308.15,101,3,1050.47,Basaiahgari et al. (2017),Density,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
zvklh,313.15,101,3,1047.19,Basaiahgari et al. (2017),Density,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
zvklh,318.15,101,3,1043.91,Basaiahgari et al. (2017),Density,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
zvklh,323.15,101,3,1040.64,Basaiahgari et al. (2017),Density,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
zvklh,328.15,101,3,1037.37,Basaiahgari et al. (2017),Density,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
zvklh,333.15,101,3,1034.12,Basaiahgari et al. (2017),Density,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
zvklh,338.15,101,3,1030.87,Basaiahgari et al. (2017),Density,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
zvklh,343.15,101,3,1027.64,Basaiahgari et al. (2017),Density,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
