setid,Mole fraction of 1-ethyl-3-methylimidazolium nitrate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XoiNl,0,101,298.15,791.4,Zhao et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,
XoiNl,0.1,101,298.15,918.4,Zhao et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,
XoiNl,0.2,101,298.15,1000.7,Zhao et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,
XoiNl,0.3,101,298.15,1054.6,Zhao et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,
XoiNl,0.4,101,298.15,1091.6,Zhao et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,
XoiNl,0.499,101,298.15,1122.4,Zhao et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,
XoiNl,0.5995,101,298.15,1144.3,Zhao et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,
XoiNl,0.7003,101,298.15,1158.2,Zhao et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,
XoiNl,0.7996,101,298.15,1176,Zhao et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,
XoiNl,0.8995,101,298.15,1188.6,Zhao et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,
XoiNl,1,101,298.15,1208.5,Zhao et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,
